Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
03-03-2008,38.5500,38.6800,37.8800,38.2100,0,0,4062300
04-03-2008,37.6600,37.8200,36.7100,37.4300,0,0,4619000
05-03-2008,38.0100,39.0700,37.8700,38.1900,0,0,3222600
06-03-2008,38.0400,38.3300,37.0100,37.0300,0,0,3512500
07-03-2008,36.0000,36.9500,35.7100,35.9100,0,0,3576300
10-03-2008,35.6600,35.8400,34.7900,34.8000,0,0,3629400
11-03-2008,35.9400,36.6700,35.4100,36.6500,0,0,4552300
12-03-2008,36.1400,36.1900,35.1800,35.3300,0,0,4090700
13-03-2008,34.4000,35.3800,33.8000,34.9300,0,0,3190000
14-03-2008,35.5900,35.7000,33.3400,33.9400,0,0,3043700
17-03-2008,32.7100,33.9300,32.6500,33.0100,0,0,3358000
18-03-2008,33.7300,34.5300,33.2500,34.4700,0,0,2909800
19-03-2008,34.1000,35.0000,33.3300,33.3800,0,0,2634200
20-03-2008,33.3800,33.9900,33.0500,33.8800,0,0,2034200
24-03-2008,34.5000,36.4900,34.1800,36.3000,0,0,3070200
25-03-2008,37.5000,37.6600,36.9300,37.4000,0,0,3503100
26-03-2008,37.1600,37.6100,36.5800,37.0300,0,0,1888600
27-03-2008,36.5600,37.0000,36.0600,36.3100,0,0,1953900
28-03-2008,37.9700,37.9700,35.9700,36.3000,0,0,3459500
31-03-2008,35.6500,36.3900,35.5100,35.7700,0,0,2092400
01-04-2008,36.4200,37.4300,36.3600,37.4300,0,0,4426800
02-04-2008,37.3400,37.7900,36.7400,37.1700,0,0,4838700
03-04-2008,36.8700,37.7900,36.6900,37.4100,0,0,5109900
04-04-2008,37.6000,37.6600,36.4900,36.8500,0,0,5101500
07-04-2008,37.4900,37.5700,36.8500,36.9600,0,0,2428000
08-04-2008,36.9600,36.9600,36.3800,36.6000,0,0,1914600
09-04-2008,36.7900,38.3000,35.6000,36.0000,0,0,3225200
10-04-2008,35.8900,36.5400,35.6600,36.2500,0,0,5417200
11-04-2008,35.4900,36.3200,35.3100,35.8100,0,0,4097300
14-04-2008,35.1900,37.0800,35.0700,36.5600,0,0,5564700
15-04-2008,38.2400,40.2000,38.1500,39.6700,0,0,9304500
16-04-2008,40.5300,41.1300,40.0400,40.8800,0,0,5219200
17-04-2008,40.5500,41.2900,40.0600,41.0500,0,0,4113400
18-04-2008,41.5000,43.3400,41.5000,43.0800,0,0,5243200
21-04-2008,42.4900,42.7800,41.9000,42.6800,0,0,3863100
22-04-2008,41.3600,41.4500,40.8500,41.3300,0,0,4228800
23-04-2008,41.7400,42.4000,41.3600,42.1900,0,0,2301000
24-04-2008,42.2000,43.6800,42.0500,43.0800,0,0,2601600
25-04-2008,43.0500,43.3300,42.1500,43.1200,0,0,2072900
28-04-2008,42.8500,42.8500,42.1000,42.2900,0,0,1932900
29-04-2008,44.0200,44.5000,43.6200,43.9000,0,0,3552900
30-04-2008,44.2000,44.4900,43.5300,43.6900,0,0,1754300
01-05-2008,43.5500,44.4200,42.8300,44.2400,0,0,3192800
02-05-2008,44.4200,45.4100,43.5900,44.9400,0,0,2209500
05-05-2008,44.8600,44.8800,44.1400,44.3600,0,0,1380000
06-05-2008,44.7100,46.1500,44.1200,45.8000,0,0,2900000
07-05-2008,44.6600,45.3700,43.1500,43.2400,0,0,4596700
08-05-2008,43.1200,43.2800,42.2900,42.8300,0,0,3799700
09-05-2008,42.4100,43.2500,41.9100,42.9100,0,0,2629800
12-05-2008,43.0700,43.6200,42.1700,43.5800,0,0,3223600
13-05-2008,43.0000,43.2000,42.3400,43.0200,0,0,2197700
14-05-2008,43.7200,44.6400,43.4000,44.3300,0,0,3219900
15-05-2008,45.0300,46.7100,44.5700,46.5800,0,0,4434400
16-05-2008,45.8400,46.2500,45.1500,46.0100,0,0,2423300
19-05-2008,45.9400,46.2300,45.3000,45.5100,0,0,1277100
20-05-2008,45.4000,45.6800,43.9300,44.3200,0,0,2687800
21-05-2008,44.2900,45.0900,43.9100,43.9200,0,0,2111800
22-05-2008,43.8200,44.5000,43.8200,44.2100,0,0,1560000
23-05-2008,43.7700,43.8500,42.9900,43.1200,0,0,2257300
27-05-2008,43.4400,44.7400,43.3500,43.9400,0,0,3074200
28-05-2008,44.5500,44.6200,43.9400,44.3900,0,0,2563700
29-05-2008,44.2700,45.9300,44.0200,45.3600,0,0,3796400
30-05-2008,46.2400,50.1200,46.1500,49.1100,0,0,7755700
02-06-2008,47.6300,48.0000,47.2600,47.7700,0,0,4359500
03-06-2008,47.2000,47.6400,46.3000,46.7700,0,0,5133100
04-06-2008,45.8500,47.4100,45.7100,46.6900,0,0,3798300
05-06-2008,48.0000,49.4800,47.9500,49.3700,0,0,5784900
06-06-2008,48.4500,48.7500,47.4600,47.4700,0,0,3327100
09-06-2008,47.0400,47.5600,46.4100,46.9100,0,0,2436300
10-06-2008,46.0100,46.2500,45.1800,45.7300,0,0,3253200
11-06-2008,46.0000,46.6200,44.8300,44.8900,0,0,3254600
12-06-2008,45.3900,47.2000,45.3000,46.4300,0,0,3233000
13-06-2008,46.3300,47.3700,45.8700,47.3200,0,0,3094300
16-06-2008,47.2600,47.2800,46.5300,47.0800,0,0,2123700
17-06-2008,47.2600,47.4100,46.6100,46.7600,0,0,1350300
